temperature,rpm,pressure,vibration,operating_hours,failure,hdf,osf,twf,pwf,rnf,failure_type
77.6,1523,25.3,0.24,3579,0,0,0,0,0,0,Normal
78.4,1394,27.9,0.24,3609,0,0,0,0,0,0,Normal
76.0,1679,24.5,0.33,3689,0,0,0,0,0,0,Normal
77.6,1466,28.2,0.33,3699,0,0,0,0,0,0,Normal
76.7,1527,25.7,0.32,3900,0,0,0,0,0,0,Normal
75.4,1410,31.6,0.28,3872,1,0,1,0,1,0,Overstrain Failure
76.9,1924,23.2,0.34,3805,0,0,0,0,0,0,Normal
78.9,1452,26.9,0.34,3910,0,0,0,0,0,0,Normal
76.6,1369,28.8,0.32,3976,0,0,0,0,0,0,Normal
79.0,1592,26.5,0.27,3997,0,0,0,0,0,0,Normal
72.6,1601,26.4,0.3,4067,0,0,0,0,0,0,Normal
77.6,1379,27.9,0.35,4110,0,0,0,0,0,0,Normal
76.5,1461,27.8,0.38,4040,0,0,0,0,0,0,Normal
76.0,1455,26.1,0.31,4210,1,0,0,1,0,0,Tool Wear Failure
73.7,1398,29.5,0.19,175,0,0,0,0,0,0,Normal
70.6,1402,25.5,0.19,208,0,0,0,0,0,0,Normal
73.1,1445,30.7,0.21,246,0,0,0,0,0,0,Normal
74.2,1450,27.1,0.18,411,0,0,0,0,0,0,Normal
75.9,1453,27.4,0.12,395,0,0,0,0,0,0,Normal
73.1,1469,28.5,0.26,413,0,0,0,0,0,0,Normal
72.5,1422,29.0,0.28,463,0,0,0,0,0,0,Normal
73.2,1804,24.6,0.19,433,0,0,0,0,0,0,Normal
75.4,1436,26.7,0.17,537,0,0,0,0,0,0,Normal
74.5,1544,24.0,0.21,612,0,0,0,0,0,0,Normal
73.3,1419,28.7,0.21,699,0,0,0,0,0,0,Normal
74.7,1487,28.4,0.26,802,0,0,0,0,0,0,Normal
74.1,1753,23.8,0.22,854,0,0,0,0,0,0,Normal
75.5,1830,22.9,0.19,927,0,0,0,0,0,0,Normal
73.0,1727,22.0,0.17,954,0,0,0,0,0,0,Normal
73.8,1450,26.6,0.26,932,0,0,0,0,0,0,Normal
73.5,1622,25.3,0.25,998,0,0,0,0,0,0,Normal
72.1,1351,30.9,0.27,1033,0,0,0,0,0,0,Normal
74.8,1575,26.7,0.19,984,0,0,0,0,0,0,Normal
74.6,1750,25.3,0.3,1088,0,0,0,0,0,0,Normal
74.1,1529,25.2,0.16,1197,0,0,0,0,0,0,Normal
73.8,1523,27.2,0.26,1235,0,0,0,0,0,0,Normal
72.2,1852,25.5,0.16,1307,0,0,0,0,0,0,Normal
73.6,1991,23.5,0.2,1343,0,0,0,0,0,0,Normal
73.7,1555,25.0,0.3,1269,0,0,0,0,0,0,Normal
73.0,1441,26.4,0.27,1421,0,0,0,0,0,0,Normal
73.9,1450,26.8,0.22,1461,0,0,0,0,0,0,Normal
74.7,1591,24.7,0.22,1521,0,0,0,0,0,0,Normal
77.0,1445,29.2,0.25,1581,0,0,0,0,0,0,Normal
74.6,1497,28.2,0.26,1559,0,0,0,0,0,0,Normal
74.8,1621,25.5,0.29,1685,0,0,0,0,0,0,Normal
74.2,1572,27.1,0.23,1673,0,0,0,0,0,0,Normal
71.3,1872,22.9,0.18,1708,0,0,0,0,0,0,Normal
74.1,1499,29.5,0.26,1815,0,0,0,0,0,0,Normal
74.5,1498,26.2,0.23,1870,0,0,0,0,0,0,Normal
78.0,1486,27.4,0.2,1959,0,0,0,0,0,0,Normal
74.1,1680,24.6,0.27,2102,0,0,0,0,0,0,Normal
74.8,1431,28.2,0.25,2060,0,0,0,0,0,0,Normal
74.5,1564,26.3,0.27,2089,0,0,0,0,0,0,Normal
72.7,1599,26.0,0.22,2073,0,0,0,0,0,0,Normal
76.2,1707,23.9,0.28,2069,0,0,0,0,0,0,Normal
75.5,1467,26.0,0.21,2207,0,0,0,0,0,0,Normal
75.9,1433,30.4,0.23,2302,0,0,0,0,0,0,Normal
73.4,1558,26.7,0.26,2271,0,0,0,0,0,0,Normal
77.0,1310,29.7,0.34,2345,0,0,0,0,0,0,Normal
72.7,1546,26.0,0.3,2434,0,0,0,0,0,0,Normal
75.7,1727,24.6,0.31,2471,0,0,0,0,0,0,Normal
78.0,1560,25.3,0.33,2460,0,0,0,0,0,0,Normal
73.2,1329,31.4,0.42,2485,0,0,0,0,0,0,Normal
73.9,1413,25.5,0.27,2439,0,0,0,0,0,0,Normal
74.9,1587,26.9,0.33,2521,0,0,0,0,0,0,Normal
73.8,1559,24.7,0.32,2576,0,0,0,0,0,0,Normal
72.1,1473,27.5,0.32,2586,0,0,0,0,0,0,Normal
74.6,1737,23.6,0.35,2679,0,0,0,0,0,0,Normal
72.9,1441,26.7,0.26,2800,0,0,0,0,0,0,Normal
75.3,1430,28.5,0.26,2837,0,0,0,0,0,0,Normal
73.2,1369,28.4,0.29,2830,0,0,0,0,0,0,Normal
77.1,1711,24.3,0.28,2895,0,0,0,0,0,0,Normal
73.7,1420,26.9,0.3,2877,0,0,0,0,0,0,Normal
74.6,1297,28.1,0.35,3081,0,0,0,0,0,0,Normal
76.3,1449,29.8,0.27,2968,0,0,0,0,0,0,Normal
73.3,1268,28.7,0.28,3186,0,0,0,0,0,0,Normal
75.6,1511,26.0,0.3,3203,0,0,0,0,0,0,Normal
77.0,1544,26.8,0.29,3179,0,0,0,0,0,0,Normal
72.5,1778,24.1,0.22,3244,0,0,0,0,0,0,Normal
75.2,1407,28.2,0.27,3255,0,0,0,0,0,0,Normal
75.4,1391,27.6,0.33,3352,0,0,0,0,0,0,Normal
76.2,1513,26.8,0.36,3384,0,0,0,0,0,0,Normal
73.2,1612,25.0,0.26,3540,0,0,0,0,0,0,Normal
73.2,1515,26.8,0.26,3656,0,0,0,0,0,0,Normal
75.8,1379,26.8,0.31,3526,0,0,0,0,0,0,Normal
75.5,1473,26.5,0.23,3783,0,0,0,0,0,0,Normal
75.5,1422,27.5,0.29,3728,0,0,0,0,0,0,Normal
75.5,1463,25.6,0.24,3781,0,0,0,0,0,0,Normal
74.0,1584,26.7,0.37,3750,0,0,0,0,0,0,Normal
75.4,1850,23.1,0.28,3947,0,0,0,0,0,0,Normal
75.5,1528,26.3,0.38,3929,0,0,0,0,0,0,Normal
74.0,1987,24.1,0.36,4013,0,0,0,0,0,0,Normal
77.8,1495,27.0,0.29,4112,0,0,0,0,0,0,Normal
75.9,1478,27.0,0.28,4175,0,0,0,0,0,0,Normal
73.5,1499,27.5,0.32,4171,0,0,0,0,0,0,Normal
76.3,1471,29.5,0.32,4250,0,0,0,0,0,0,Normal
73.9,1282,29.4,0.34,4267,1,0,1,0,0,0,Overstrain Failure
76.4,1412,29.2,0.3,4381,1,0,1,0,0,0,Overstrain Failure
73.9,1586,26.4,0.23,217,0,0,0,0,0,0,Normal
71.1,1468,27.6,0.21,291,0,0,0,0,0,0,Normal
74.0,1440,25.2,0.19,350,0,0,0,0,0,0,Normal
73.4,1733,24.8,0.18,265,0,0,0,0,0,0,Normal
73.7,1612,27.1,0.2,457,0,0,0,0,0,0,Normal
75.5,1458,27.6,0.18,532,0,0,0,0,0,0,Normal
72.4,1433,30.2,0.21,561,1,0,0,0,1,0,Power Failure
71.7,1318,30.1,0.22,635,0,0,0,0,0,0,Normal
71.3,1610,27.8,0.22,649,0,0,0,0,0,0,Normal
71.3,1462,29.9,0.29,743,0,0,0,0,0,0,Normal
72.3,1924,23.9,0.21,732,0,0,0,0,0,0,Normal
72.9,1591,26.1,0.26,831,0,0,0,0,0,0,Normal
73.1,1306,29.8,0.23,867,0,0,0,0,0,0,Normal
73.9,1382,27.4,0.21,880,0,0,0,0,0,0,Normal
72.7,1618,25.9,0.22,949,0,0,0,0,0,0,Normal
75.1,1988,23.9,0.22,1113,0,0,0,0,0,0,Normal
72.5,1436,30.4,0.24,982,0,0,0,0,0,0,Normal
77.2,1304,30.0,0.19,1041,0,0,0,0,0,0,Normal
74.1,1475,27.4,0.17,1058,0,0,0,0,0,0,Normal
71.9,1824,24.1,0.26,1101,0,0,0,0,0,0,Normal
71.5,1342,29.3,0.27,1265,0,0,0,0,0,0,Normal
73.8,1485,27.7,0.26,1317,0,0,0,0,0,0,Normal
72.8,1667,24.5,0.24,1319,0,0,0,0,0,0,Normal
74.2,1446,29.5,0.27,1409,0,0,0,0,0,0,Normal
74.1,1301,28.8,0.27,1435,0,0,0,0,0,0,Normal
73.5,1379,26.5,0.27,1425,0,0,0,0,0,0,Normal
72.5,1606,26.0,0.21,1394,0,0,0,0,0,0,Normal
71.4,1539,29.7,0.2,1551,0,0,0,0,0,0,Normal
73.0,1477,28.0,0.23,1574,0,0,0,0,0,0,Normal
75.0,1666,25.7,0.24,1605,0,0,0,0,0,0,Normal
74.1,1398,30.3,0.24,1619,0,0,0,0,0,0,Normal
71.9,1678,25.9,0.17,1774,0,0,0,0,0,0,Normal
74.3,2678,21.0,0.32,1849,1,0,0,0,1,0,Power Failure
74.7,1453,28.1,0.24,1877,0,0,0,0,0,0,Normal
73.0,1432,29.1,0.26,1865,0,0,0,0,0,0,Normal
74.6,1527,28.2,0.31,2075,0,0,0,0,0,0,Normal
74.7,1588,27.3,0.16,2109,0,0,0,0,0,0,Normal
72.7,1433,28.6,0.24,2129,0,0,0,0,0,0,Normal
75.0,1609,26.3,0.25,2021,0,0,0,0,0,0,Normal
75.2,1575,27.4,0.25,2190,0,0,0,0,0,0,Normal
76.0,1636,26.6,0.26,2218,0,0,0,0,0,0,Normal
76.0,1490,26.6,0.32,2256,0,0,0,0,0,0,Normal
72.3,1741,25.6,0.29,2363,0,0,0,0,0,0,Normal
73.2,1344,30.7,0.31,2399,0,0,0,0,0,0,Normal
75.6,1609,27.6,0.27,2442,0,0,0,0,0,0,Normal
75.6,1421,29.4,0.21,2510,1,0,0,0,1,0,Power Failure
75.5,1591,26.3,0.19,2464,0,0,0,0,0,0,Normal
80.5,1477,27.0,0.21,2530,0,0,0,0,0,0,Normal
75.8,1523,25.9,0.29,2594,0,0,0,0,0,0,Normal
76.7,1575,26.2,0.28,2597,0,0,0,0,0,0,Normal
76.4,1344,30.1,0.27,2703,0,0,0,0,0,0,Normal
76.1,1386,27.8,0.27,2735,0,0,0,0,0,0,Normal
74.5,1589,24.5,0.36,2864,0,0,0,0,0,0,Normal
76.1,1548,26.1,0.25,2810,0,0,0,0,0,0,Normal
73.8,1499,27.5,0.32,3001,0,0,0,0,0,0,Normal
74.5,1664,22.6,0.29,3033,0,0,0,0,0,0,Normal
74.3,1447,27.8,0.28,2965,0,0,0,0,0,0,Normal
75.0,1434,28.7,0.33,3065,0,0,0,0,0,0,Normal
78.4,1416,30.7,0.35,3045,0,0,0,0,0,0,Normal
72.2,1827,23.7,0.28,3153,0,0,0,0,0,0,Normal
76.3,1304,25.9,0.33,3189,0,0,0,0,0,0,Normal
72.8,1569,26.3,0.31,3171,0,0,0,0,0,0,Normal
74.6,1584,26.2,0.3,3097,0,0,0,0,0,0,Normal
76.8,1362,30.5,0.31,3298,0,0,0,0,0,0,Normal
75.1,1329,28.1,0.27,3363,0,0,0,0,0,0,Normal
73.6,1539,26.3,0.29,3454,0,0,0,0,0,0,Normal
74.1,1629,25.9,0.28,3427,0,0,0,0,0,0,Normal
76.3,1538,24.6,0.34,3532,0,0,0,0,0,0,Normal
74.4,1570,26.9,0.3,3497,0,0,0,0,0,0,Normal
75.5,1408,26.4,0.25,3541,0,0,0,0,0,0,Normal
75.2,1424,27.5,0.28,3649,0,0,0,0,0,0,Normal
74.2,1512,24.9,0.18,3511,0,0,0,0,0,0,Normal
78.4,1478,26.0,0.29,3673,0,0,0,0,0,0,Normal
76.0,1680,25.9,0.31,3690,0,0,0,0,0,0,Normal
72.1,1495,27.9,0.31,3835,0,0,0,0,0,0,Normal
75.1,1552,26.1,0.39,3778,0,0,0,0,0,0,Normal
73.9,1393,27.4,0.34,3887,0,0,0,0,0,0,Normal
76.3,1611,26.0,0.34,3946,0,0,0,0,0,0,Normal
73.7,1339,30.9,0.25,3863,0,0,0,0,0,0,Normal
74.8,1777,23.3,0.3,3987,0,0,0,0,0,0,Normal
75.9,1348,30.1,0.3,4011,1,0,1,0,0,0,Overstrain Failure
76.5,1442,28.3,0.29,4118,0,0,0,0,0,0,Normal
73.4,1395,30.3,0.29,4142,0,0,0,0,0,0,Normal
74.6,1627,24.8,0.25,4154,0,0,0,0,0,0,Normal
74.4,1585,24.4,0.27,4170,0,0,0,0,0,0,Normal
74.3,1469,28.7,0.36,4312,0,0,0,0,0,0,Normal
78.2,1362,31.0,0.32,4295,1,0,1,0,0,0,Overstrain Failure
76.2,1405,30.1,0.31,4255,1,0,1,0,0,0,Overstrain Failure
70.6,1662,25.0,0.2,123,0,0,0,0,0,0,Normal
73.7,1466,28.5,0.25,260,0,0,0,0,0,0,Normal
75.6,1620,26.7,0.2,231,0,0,0,0,0,0,Normal
74.0,1357,27.8,0.23,426,0,0,0,0,0,0,Normal
70.2,1514,26.6,0.17,324,0,0,0,0,0,0,Normal
71.7,1489,25.7,0.18,409,0,0,0,0,0,0,Normal
74.6,1331,32.1,0.22,455,0,0,0,0,0,0,Normal
71.1,1615,24.7,0.28,448,0,0,0,0,0,0,Normal
73.2,1482,26.1,0.27,411,0,0,0,0,0,0,Normal
73.7,1420,31.5,0.23,570,1,0,0,0,1,0,Power Failure
71.4,1522,28.8,0.22,580,0,0,0,0,0,0,Normal
72.6,1654,26.3,0.27,680,0,0,0,0,0,0,Normal
67.8,1736,25.0,0.25,706,0,0,0,0,0,0,Normal
71.0,1587,25.3,0.13,782,0,0,0,0,0,0,Normal
72.4,1390,29.2,0.18,904,0,0,0,0,0,0,Normal
70.8,1454,26.8,0.23,837,0,0,0,0,0,0,Normal
75.1,1440,27.2,0.15,879,0,0,0,0,0,0,Normal
70.4,1954,23.2,0.19,914,0,0,0,0,0,0,Normal
71.9,1800,23.9,0.2,1025,0,0,0,0,0,0,Normal
72.9,1524,26.9,0.22,1150,0,0,0,0,0,0,Normal
74.9,1520,26.5,0.22,1143,0,0,0,0,0,0,Normal
70.8,1452,26.7,0.22,1283,0,0,0,0,0,0,Normal
74.7,1484,29.0,0.27,1310,0,0,0,0,0,0,Normal
72.8,1426,29.1,0.23,1292,0,0,0,0,0,0,Normal
71.4,1652,24.0,0.22,1411,0,0,0,0,0,0,Normal
73.6,1401,30.4,0.18,1423,0,0,0,0,0,0,Normal
73.0,1750,24.5,0.28,1477,0,0,0,0,0,0,Normal
72.1,1479,29.4,0.21,1500,0,0,0,0,0,0,Normal
73.1,1620,25.1,0.2,1590,0,0,0,0,0,0,Normal
72.7,1819,25.0,0.25,1688,0,0,0,0,0,0,Normal
73.4,1456,28.0,0.22,1706,0,0,0,0,0,0,Normal
74.1,1626,26.2,0.23,1861,0,0,0,0,0,0,Normal
75.7,1390,29.9,0.26,1853,0,0,0,0,0,0,Normal
71.7,1469,27.8,0.24,1897,0,0,0,0,0,0,Normal
77.0,2051,23.1,0.35,1899,0,0,0,0,0,0,Normal
70.9,1568,26.5,0.25,1844,0,0,0,0,0,0,Normal
73.6,1589,25.6,0.28,1943,0,0,0,0,0,0,Normal
74.7,1805,25.4,0.18,1989,0,0,0,0,0,0,Normal
74.5,1385,26.8,0.22,2046,0,0,0,0,0,0,Normal
73.2,1436,27.5,0.22,2152,0,0,0,0,0,0,Normal
73.8,1438,27.0,0.22,2225,0,0,0,0,0,0,Normal
73.3,1473,26.1,0.28,2244,0,0,0,0,0,0,Normal
73.3,1335,26.1,0.31,2326,0,0,0,0,0,0,Normal
75.7,1392,27.7,0.28,2290,0,0,0,0,0,0,Normal
75.0,1372,29.2,0.26,2414,0,0,0,0,0,0,Normal
73.6,1716,24.9,0.25,2475,0,0,0,0,0,0,Normal
75.9,1395,25.8,0.32,2527,0,0,0,0,0,0,Normal
75.0,1713,25.7,0.36,2617,0,0,0,0,0,0,Normal
75.8,2129,24.0,0.28,2631,0,0,0,0,0,0,Normal
75.3,1567,26.6,0.32,2619,0,0,0,0,0,0,Normal
73.3,1622,28.5,0.29,2737,0,0,0,0,0,0,Normal
73.7,1740,23.5,0.31,2780,0,0,0,0,0,0,Normal
75.7,1512,27.9,0.24,2926,0,0,0,0,0,0,Normal
75.6,1479,26.7,0.27,2897,0,0,0,0,0,0,Normal
74.7,1737,24.8,0.3,2921,0,0,0,0,0,0,Normal
74.9,2129,21.7,0.34,3030,0,0,0,0,0,0,Normal
76.7,1374,28.3,0.26,3071,0,0,0,0,0,0,Normal
73.9,1579,26.7,0.21,3080,0,0,0,0,0,0,Normal
75.8,1305,28.2,0.27,3130,0,0,0,0,0,0,Normal
74.7,1449,27.8,0.33,3226,0,0,0,0,0,0,Normal
74.9,1526,27.4,0.23,3193,0,0,0,0,0,0,Normal
77.0,1453,27.2,0.25,3313,0,0,0,0,0,0,Normal
76.6,1468,25.6,0.31,3361,0,0,0,0,0,0,Normal
76.6,1313,29.8,0.3,3480,0,0,0,0,0,0,Normal
77.2,1300,28.8,0.33,3478,0,0,0,0,0,0,Normal
75.1,1646,28.0,0.25,3467,0,0,0,0,0,0,Normal
76.2,1714,26.9,0.29,3510,0,0,0,0,0,0,Normal
74.7,1685,23.1,0.35,3690,0,0,0,0,0,0,Normal
75.7,1512,28.1,0.26,3688,0,0,0,0,0,0,Normal
75.0,1612,27.5,0.37,3714,0,0,0,0,0,0,Normal
75.4,1550,26.9,0.27,3710,0,0,0,0,0,0,Normal
76.2,1518,26.1,0.35,3880,0,0,0,0,0,0,Normal
74.3,1448,28.0,0.3,3788,0,0,0,0,0,0,Normal
78.7,1561,27.9,0.27,3918,0,0,0,0,0,0,Normal
74.1,1488,27.5,0.3,3896,0,0,0,0,0,0,Normal
73.8,1699,23.3,0.34,3963,0,0,0,0,0,0,Normal
77.4,1501,27.4,0.32,4050,0,0,0,0,0,0,Normal
76.9,1373,30.7,0.37,4044,1,0,1,0,0,0,Overstrain Failure
76.5,1703,25.8,0.38,4068,0,0,0,0,0,0,Normal
76.7,1720,26.1,0.28,4159,0,0,0,0,0,0,Normal
75.7,1398,26.6,0.28,4180,0,0,0,0,0,0,Normal
74.4,1391,28.7,0.28,4374,0,0,0,0,0,0,Normal
72.6,1538,28.9,0.16,150,0,0,0,0,0,0,Normal
71.3,1647,25.1,0.25,350,0,0,0,0,0,0,Normal
73.7,1469,28.1,0.23,280,0,0,0,0,0,0,Normal
72.0,1749,24.2,0.18,417,0,0,0,0,0,0,Normal
71.2,1995,22.4,0.21,299,0,0,0,0,0,0,Normal
72.2,1742,26.2,0.26,483,0,0,0,0,0,0,Normal
73.2,1563,26.1,0.29,534,0,0,0,0,0,0,Normal
71.7,1713,24.3,0.22,588,0,0,0,0,0,0,Normal
71.2,1474,26.4,0.12,503,0,0,0,0,0,0,Normal
73.0,1530,23.5,0.22,582,0,0,0,0,0,0,Normal
73.0,1471,27.6,0.25,703,0,0,0,0,0,0,Normal
72.1,1388,27.6,0.22,720,0,0,0,0,0,0,Normal
72.0,2448,22.5,0.25,765,0,0,0,0,0,0,Normal
73.3,1585,24.9,0.23,789,0,0,0,0,0,0,Normal
70.8,1459,28.8,0.17,923,0,0,0,0,0,0,Normal
70.9,1544,28.5,0.19,1032,0,0,0,0,0,0,Normal
72.0,1617,26.1,0.21,945,0,0,0,0,0,0,Normal
72.7,1595,25.6,0.27,1001,0,0,0,0,0,0,Normal
73.6,1400,27.9,0.19,1019,0,0,0,0,0,0,Normal
75.6,1611,23.7,0.25,1175,0,0,0,0,0,0,Normal
74.7,1507,28.0,0.24,1209,0,0,0,0,0,0,Normal
73.0,1674,24.2,0.3,1171,0,0,0,0,0,0,Normal
73.3,1658,26.6,0.23,1289,0,0,0,0,0,0,Normal
71.8,1623,28.9,0.17,1307,0,0,0,0,0,0,Normal
73.5,1398,29.2,0.26,1530,0,0,0,0,0,0,Normal
73.2,1517,23.9,0.32,1484,0,0,0,0,0,0,Normal
73.9,1467,26.0,0.27,1460,0,0,0,0,0,0,Normal
72.2,1567,26.0,0.21,1513,0,0,0,0,0,0,Normal
74.3,1521,26.7,0.2,1644,0,0,0,0,0,0,Normal
75.9,1596,25.6,0.21,1706,0,0,0,0,0,0,Normal
73.4,1640,25.5,0.33,1739,0,0,0,0,0,0,Normal
74.3,1438,27.2,0.24,1772,0,0,0,0,0,0,Normal
74.9,1407,28.9,0.22,1847,0,0,0,0,0,0,Normal
73.3,1353,31.0,0.25,1875,0,0,0,0,0,0,Normal
74.4,1552,26.1,0.24,1861,0,0,0,0,0,0,Normal
74.0,1569,27.2,0.32,1918,0,0,0,0,0,0,Normal
74.2,1489,25.5,0.22,2042,0,0,0,0,0,0,Normal
72.9,1587,28.0,0.31,2069,0,0,0,0,0,0,Normal
74.0,1622,25.6,0.27,2182,0,0,0,0,0,0,Normal
74.9,1604,26.4,0.31,2251,0,0,0,0,0,0,Normal
76.2,1405,29.5,0.33,2324,0,0,0,0,0,0,Normal
75.5,1412,26.8,0.27,2267,0,0,0,0,0,0,Normal
77.3,1431,27.7,0.25,2375,0,0,0,0,0,0,Normal
72.8,1533,27.0,0.27,2419,0,0,0,0,0,0,Normal
75.3,1401,30.2,0.27,2404,0,0,0,0,0,0,Normal
74.3,1424,30.4,0.2,2483,0,0,0,0,0,0,Normal
77.3,1754,24.8,0.34,2519,0,0,0,0,0,0,Normal
72.9,1754,24.3,0.28,2677,0,0,0,0,0,0,Normal
73.0,2564,24.1,0.23,2615,1,0,0,0,1,0,Power Failure
73.7,1546,28.0,0.19,2670,0,0,0,0,0,0,Normal
71.5,1335,27.6,0.18,2672,0,0,0,0,0,0,Normal
74.1,1842,24.6,0.31,2699,0,0,0,0,0,0,Normal
73.6,1712,24.1,0.26,2715,0,0,0,0,0,0,Normal
75.2,1414,27.9,0.26,2873,0,0,0,0,0,0,Normal
75.7,1319,27.8,0.3,2914,0,0,0,0,0,0,Normal
78.0,1249,30.5,0.26,2898,0,0,0,0,0,0,Normal
76.6,1455,30.4,0.31,2906,0,0,0,0,0,0,Normal
74.4,1408,30.4,0.29,2998,0,0,0,0,0,0,Normal
73.9,1460,25.8,0.29,3021,0,0,0,0,0,0,Normal
75.9,1491,27.8,0.23,3073,0,0,0,0,0,0,Normal
73.0,1490,28.7,0.26,3059,0,0,0,0,0,0,Normal
77.6,1350,28.9,0.32,3190,0,0,0,0,0,0,Normal
76.7,1528,27.7,0.27,3247,0,0,0,0,0,0,Normal
74.1,1571,25.7,0.34,3328,0,0,0,0,0,0,Normal
72.2,1490,27.0,0.39,3304,0,0,0,0,0,0,Normal
76.8,1774,26.3,0.32,3333,0,0,0,0,0,0,Normal
74.7,1502,27.4,0.36,3328,0,0,0,0,0,0,Normal
77.0,1392,27.0,0.33,3556,0,0,0,0,0,0,Normal
72.9,2100,22.5,0.28,3584,0,0,0,0,0,0,Normal
74.4,1722,25.0,0.31,3579,0,0,0,0,0,0,Normal
75.5,1678,26.7,0.39,3549,0,0,0,0,0,0,Normal
75.6,1273,30.8,0.29,3592,0,0,0,0,0,0,Normal
74.9,1297,27.7,0.27,3664,0,0,0,0,0,0,Normal
76.4,1350,31.4,0.26,3777,0,0,0,0,0,0,Normal
74.0,1439,29.4,0.3,3781,0,0,0,0,0,0,Normal
75.3,1600,26.6,0.27,3730,0,0,0,0,0,0,Normal
75.9,1434,29.0,0.38,3882,0,0,0,0,0,0,Normal
